Epoch 100 - Train Loss: 0.0042, Val Loss: 0.0013
Epoch 101 - Train Loss: 0.0023, Val Loss: 0.0014
Epoch 102 - Train Loss: 0.0041, Val Loss: 0.0017
Epoch 103 - Train Loss: 0.0028, Val Loss: 0.0016
Epoch 104 - Train Loss: 0.0026, Val Loss: 0.0015
Epoch 105 - Train Loss: 0.0072, Val Loss: 0.0020
Epoch 106 - Train Loss: 0.0045, Val Loss: 0.0018
Epoch 107 - Train Loss: 0.0043, Val Loss: 0.0025
Epoch 108 - Train Loss: 0.0044, Val Loss: 0.0026
Epoch 109 - Train Loss: 0.0047, Val Loss: 0.0021
Epoch 110 - Train Loss: 0.0046, Val Loss: 0.0041
Epoch 111 - Train Loss: 0.0030, Val Loss: 0.0030
Epoch 112 - Train Loss: 0.0032, Val Loss: 0.0076
Epoch 113 - Train Loss: 0.0070, Val Loss: 0.0031
Epoch 114 - Train Loss: 0.0039, Val Loss: 0.0023
Epoch 115 - Train Loss: 0.0036, Val Loss: 0.0019
Epoch 116 - Train Loss: 0.0037, Val Loss: 0.0023
Epoch 117 - Train Loss: 0.0040, Val Loss: 0.0018
Epoch 118 - Train Loss: 0.0042, Val Loss: 0.0025
Epoch 119 - Train Loss: 0.0033, Val Loss: 0.0041
Epoch 120 - Train Loss: 0.0035, Val Loss: 0.0038
Epoch 121 - Train Loss: 0.0039, Val Loss: 0.0016
Epoch 122 - Train Loss: 0.0027, Val Loss: 0.0023
Epoch 123 - Train Loss: 0.0028, Val Loss: 0.0014
Epoch 124 - Train Loss: 0.0029, Val Loss: 0.0014
Epoch 125 - Train Loss: 0.0026, Val Loss: 0.0019
Epoch 126 - Train Loss: 0.0042, Val Loss: 0.0012
Epoch 127 - Train Loss: 0.0025, Val Loss: 0.0016
Epoch 128 - Train Loss: 0.0030, Val Loss: 0.0024
Epoch 129 - Train Loss: 0.0030, Val Loss: 0.0013
Epoch 130 - Train Loss: 0.0030, Val Loss: 0.0014
Epoch 131 - Train Loss: 0.0040, Val Loss: 0.0013
Epoch 132 - Train Loss: 0.0035, Val Loss: 0.0018
Epoch 133 - Train Loss: 0.0032, Val Loss: 0.0020
Epoch 134 - Train Loss: 0.0025, Val Loss: 0.0014
Epoch 135 - Train Loss: 0.0030, Val Loss: 0.0016
Epoch 136 - Train Loss: 0.0055, Val Loss: 0.0026
Epoch 137 - Train Loss: 0.0032, Val Loss: 0.0025
Epoch 138 - Train Loss: 0.0041, Val Loss: 0.0016
Epoch 139 - Train Loss: 0.0027, Val Loss: 0.0025
Epoch 140 - Train Loss: 0.0040, Val Loss: 0.0016
Epoch 141 - Train Loss: 0.0030, Val Loss: 0.0013
Epoch 142 - Train Loss: 0.0067, Val Loss: 0.0024
Epoch 143 - Train Loss: 0.0036, Val Loss: 0.0031
Epoch 144 - Train Loss: 0.0026, Val Loss: 0.0018
Epoch 145 - Train Loss: 0.0038, Val Loss: 0.0018
Epoch 146 - Train Loss: 0.0036, Val Loss: 0.0018
Epoch 147 - Train Loss: 0.0030, Val Loss: 0.0011
Epoch 148 - Train Loss: 0.0029, Val Loss: 0.0014
Epoch 149 - Train Loss: 0.0024, Val Loss: 0.0025
Epoch 150 - Train Loss: 0.0025, Val Loss: 0.0013
Epoch 151 - Train Loss: 0.0030, Val Loss: 0.0016
Epoch 152 - Train Loss: 0.0032, Val Loss: 0.0015
Epoch 153 - Train Loss: 0.0033, Val Loss: 0.0017
Epoch 154 - Train Loss: 0.0031, Val Loss: 0.0010
Epoch 155 - Train Loss: 0.0052, Val Loss: 0.0020
Epoch 156 - Train Loss: 0.0028, Val Loss: 0.0032
Epoch 157 - Train Loss: 0.0026, Val Loss: 0.0020
Epoch 158 - Train Loss: 0.0034, Val Loss: 0.0023
Epoch 159 - Train Loss: 0.0029, Val Loss: 0.0015
Epoch 160 - Train Loss: 0.0025, Val Loss: 0.0010
Epoch 161 - Train Loss: 0.0025, Val Loss: 0.0011
Epoch 162 - Train Loss: 0.0021, Val Loss: 0.0013
Epoch 163 - Train Loss: 0.0022, Val Loss: 0.0009
[34m[1mwandb[0m: Network error (ConnectionError), entering retry loop.
Epoch 164 - Train Loss: 0.0029, Val Loss: 0.0011
Epoch 165 - Train Loss: 0.0017, Val Loss: 0.0013
Epoch 166 - Train Loss: 0.0020, Val Loss: 0.0012
Epoch 167 - Train Loss: 0.0027, Val Loss: 0.0024
Epoch 168 - Train Loss: 0.0043, Val Loss: 0.0025
Epoch 169 - Train Loss: 0.0077, Val Loss: 0.0031
Epoch 170 - Train Loss: 0.0026, Val Loss: 0.0033
Epoch 171 - Train Loss: 0.0030, Val Loss: 0.0015
Epoch 172 - Train Loss: 0.0028, Val Loss: 0.0016
Epoch 173 - Train Loss: 0.0028, Val Loss: 0.0021
Epoch 174 - Train Loss: 0.0023, Val Loss: 0.0036
Epoch 175 - Train Loss: 0.0027, Val Loss: 0.0017
Epoch 176 - Train Loss: 0.0022, Val Loss: 0.0012
Epoch 177 - Train Loss: 0.0043, Val Loss: 0.0010
Epoch 178 - Train Loss: 0.0031, Val Loss: 0.0013
Epoch 179 - Train Loss: 0.0050, Val Loss: 0.0014
Epoch 180 - Train Loss: 0.0027, Val Loss: 0.0016
Epoch 181 - Train Loss: 0.0029, Val Loss: 0.0025
Epoch 182 - Train Loss: 0.0024, Val Loss: 0.0018
Epoch 183 - Train Loss: 0.0022, Val Loss: 0.0012
Epoch 184 - Train Loss: 0.0033, Val Loss: 0.0015
Epoch 185 - Train Loss: 0.0029, Val Loss: 0.0010
Epoch 186 - Train Loss: 0.0027, Val Loss: 0.0010
Epoch 187 - Train Loss: 0.0027, Val Loss: 0.0015
Epoch 188 - Train Loss: 0.0043, Val Loss: 0.0019
Epoch 189 - Train Loss: 0.0027, Val Loss: 0.0012
Epoch 190 - Train Loss: 0.0029, Val Loss: 0.0011
Epoch 191 - Train Loss: 0.0096, Val Loss: 0.0041
Epoch 192 - Train Loss: 0.0072, Val Loss: 0.0046
Epoch 193 - Train Loss: 0.0054, Val Loss: 0.0049
Epoch 194 - Train Loss: 0.0047, Val Loss: 0.0056
Epoch 195 - Train Loss: 0.0044, Val Loss: 0.0021
Epoch 196 - Train Loss: 0.0034, Val Loss: 0.0035
Epoch 197 - Train Loss: 0.0035, Val Loss: 0.0019
Epoch 198 - Train Loss: 0.0027, Val Loss: 0.0025
Epoch 199 - Train Loss: 0.0040, Val Loss: 0.0011
Epoch 200 - Train Loss: 0.0019, Val Loss: 0.0016
Epoch 201 - Train Loss: 0.0021, Val Loss: 0.0013
Epoch 202 - Train Loss: 0.0024, Val Loss: 0.0011
Epoch 203 - Train Loss: 0.0030, Val Loss: 0.0015
Epoch 204 - Train Loss: 0.0022, Val Loss: 0.0010
Epoch 205 - Train Loss: 0.0017, Val Loss: 0.0009
Epoch 206 - Train Loss: 0.0014, Val Loss: 0.0010
Epoch 207 - Train Loss: 0.0018, Val Loss: 0.0011
Epoch 208 - Train Loss: 0.0014, Val Loss: 0.0010
Epoch 209 - Train Loss: 0.0014, Val Loss: 0.0010
Epoch 210 - Train Loss: 0.0023, Val Loss: 0.0006
Epoch 211 - Train Loss: 0.0014, Val Loss: 0.0005
Epoch 212 - Train Loss: 0.0015, Val Loss: 0.0007
Epoch 213 - Train Loss: 0.0059, Val Loss: 0.0011
Epoch 214 - Train Loss: 0.0026, Val Loss: 0.0045
Epoch 215 - Train Loss: 0.0028, Val Loss: 0.0024
Epoch 216 - Train Loss: 0.0028, Val Loss: 0.0013
Epoch 217 - Train Loss: 0.0025, Val Loss: 0.0014
Epoch 218 - Train Loss: 0.0017, Val Loss: 0.0013
Epoch 219 - Train Loss: 0.0022, Val Loss: 0.0010
Epoch 220 - Train Loss: 0.0021, Val Loss: 0.0016
Epoch 221 - Train Loss: 0.0016, Val Loss: 0.0010
Epoch 222 - Train Loss: 0.0014, Val Loss: 0.0006
Epoch 223 - Train Loss: 0.0014, Val Loss: 0.0006
Epoch 224 - Train Loss: 0.0017, Val Loss: 0.0014
Epoch 225 - Train Loss: 0.0018, Val Loss: 0.0006
Epoch 226 - Train Loss: 0.0029, Val Loss: 0.0007
Epoch 227 - Train Loss: 0.0014, Val Loss: 0.0007
Epoch 228 - Train Loss: 0.0014, Val Loss: 0.0009
Epoch 229 - Train Loss: 0.0016, Val Loss: 0.0007
Epoch 230 - Train Loss: 0.0030, Val Loss: 0.0023
Epoch 231 - Train Loss: 0.0015, Val Loss: 0.0025
Epoch 232 - Train Loss: 0.0018, Val Loss: 0.0007
Epoch 233 - Train Loss: 0.0018, Val Loss: 0.0008
Epoch 234 - Train Loss: 0.0021, Val Loss: 0.0011
Epoch 235 - Train Loss: 0.0025, Val Loss: 0.0016
Epoch 236 - Train Loss: 0.0018, Val Loss: 0.0007
Epoch 237 - Train Loss: 0.0015, Val Loss: 0.0007
Epoch 238 - Train Loss: 0.0013, Val Loss: 0.0008
Epoch 239 - Train Loss: 0.0023, Val Loss: 0.0008
Epoch 240 - Train Loss: 0.0014, Val Loss: 0.0013
Epoch 241 - Train Loss: 0.0015, Val Loss: 0.0012
Epoch 242 - Train Loss: 0.0017, Val Loss: 0.0008
Epoch 243 - Train Loss: 0.0016, Val Loss: 0.0008
Epoch 244 - Train Loss: 0.0012, Val Loss: 0.0016
Epoch 245 - Train Loss: 0.0017, Val Loss: 0.0005
Epoch 246 - Train Loss: 0.0017, Val Loss: 0.0006
Epoch 247 - Train Loss: 0.0020, Val Loss: 0.0021
Epoch 248 - Train Loss: 0.0016, Val Loss: 0.0005
Epoch 249 - Train Loss: 0.0015, Val Loss: 0.0006
Epoch 250 - Train Loss: 0.0018, Val Loss: 0.0007
Epoch 251 - Train Loss: 0.0010, Val Loss: 0.0005
Epoch 252 - Train Loss: 0.0015, Val Loss: 0.0004
Epoch 253 - Train Loss: 0.0014, Val Loss: 0.0005
Epoch 254 - Train Loss: 0.0014, Val Loss: 0.0008
Epoch 255 - Train Loss: 0.0012, Val Loss: 0.0006
Epoch 256 - Train Loss: 0.0012, Val Loss: 0.0005
Epoch 257 - Train Loss: 0.0015, Val Loss: 0.0007
Epoch 258 - Train Loss: 0.0016, Val Loss: 0.0006
Epoch 259 - Train Loss: 0.0024, Val Loss: 0.0018
Epoch 260 - Train Loss: 0.0014, Val Loss: 0.0014
Epoch 261 - Train Loss: 0.0022, Val Loss: 0.0013
Epoch 262 - Train Loss: 0.0013, Val Loss: 0.0014
Epoch 263 - Train Loss: 0.0016, Val Loss: 0.0007
Epoch 264 - Train Loss: 0.0008, Val Loss: 0.0006
Epoch 265 - Train Loss: 0.0012, Val Loss: 0.0005
Epoch 266 - Train Loss: 0.0021, Val Loss: 0.0005
Epoch 267 - Train Loss: 0.0013, Val Loss: 0.0016
Epoch 268 - Train Loss: 0.0013, Val Loss: 0.0009
Epoch 269 - Train Loss: 0.0018, Val Loss: 0.0009
Epoch 270 - Train Loss: 0.0018, Val Loss: 0.0009
Epoch 271 - Train Loss: 0.0044, Val Loss: 0.0012
Epoch 272 - Train Loss: 0.0016, Val Loss: 0.0016
Epoch 273 - Train Loss: 0.0023, Val Loss: 0.0012
Epoch 274 - Train Loss: 0.0026, Val Loss: 0.0012
Epoch 275 - Train Loss: 0.0017, Val Loss: 0.0013
Epoch 276 - Train Loss: 0.0025, Val Loss: 0.0011
Epoch 277 - Train Loss: 0.0018, Val Loss: 0.0010
Epoch 278 - Train Loss: 0.0037, Val Loss: 0.0012
Epoch 279 - Train Loss: 0.0028, Val Loss: 0.0036
Epoch 280 - Train Loss: 0.0030, Val Loss: 0.0019
Epoch 281 - Train Loss: 0.0028, Val Loss: 0.0014
Epoch 282 - Train Loss: 0.0018, Val Loss: 0.0016
Epoch 283 - Train Loss: 0.0022, Val Loss: 0.0021
Epoch 284 - Train Loss: 0.0028, Val Loss: 0.0014
Epoch 285 - Train Loss: 0.0021, Val Loss: 0.0010
Epoch 286 - Train Loss: 0.0025, Val Loss: 0.0034
Epoch 287 - Train Loss: 0.0023, Val Loss: 0.0009
Epoch 288 - Train Loss: 0.0016, Val Loss: 0.0025
Epoch 289 - Train Loss: 0.0028, Val Loss: 0.0012
Epoch 290 - Train Loss: 0.0023, Val Loss: 0.0010
